"","Blue Spring","Crystal River ","De Leon","Manatee Springs","Silver Glen","Silver","Warm Mineral","Weeki Wachee ","C-54","Berkeley","Harbor Branch"
"0%",181.630559768509,6258.1563884676,107.400840799476,0,283.171863459366,4.71719184350052,23.4073801141528,304.388795653046,73.5235453953388,152.108626239412,99.7042379064124
"10%",327.460351590802,10605.0007697637,222.987271314642,0,585.881789114132,9.66192799351328,81.0861178661707,1084.06267574546,147.593313634863,297.690950470277,191.026009937426
"20%",363.980602907198,11513.574412741,259.677472859382,0,682.130628012592,11.2112946176417,98.7094192101974,1334.35625949504,171.652681032223,345.841743334695,222.237895090721
"30%",394.84875113644,12276.9681503012,290.25676920518,0,762.340208748811,12.5403147139371,113.520796407083,1539.53965061005,191.204601403967,386.424872730471,247.947803857531
"40%",423.984727206643,12992.3795932407,319.350033969323,0,840.294107417624,13.7836459456523,127.229850855378,1734.64890650768,210.072389665056,424.346733765188,272.480252482544
"50%",452.916309177282,13701.1597313735,348.771592373906,0,918.503146625578,15.0631846097709,141.064842974249,1935.16612374608,229.184834887715,462.953413502032,297.170675948301
"60%",483.459560541447,14449.1940831704,380.933561635777,0,1004.80051443192,16.4671925132586,155.90966081155,2148.72576805882,250.145726582961,505.263104610243,324.261361401105
"70%",516.935360895041,15258.9273550103,418.263005026151,0,1102.76038524478,18.0646144495994,173.003504744774,2394.80182562809,274.284731802571,553.812543044265,355.483697688023
"80%",557.661172754538,16253.4443308728,464.714261174593,0,1228.94331270298,20.0921009411485,194.485557836557,2690.42449358846,305.082299808114,615.644714703582,395.278901673172
"90%",616.712406894273,17691.9957261896,535.520395521502,0,1420.2857784356,23.1769416736383,226.939432024631,3135.12996181681,351.534740194942,709.616943927919,454.861844736327
"100%",986.347672416713,26589.1155831999,1142.97634663087,0,2852.02640568472,49.8798759701486,498.74043310705,6127.39558591798,708.459103233514,1294.75444225189,897.298941617563
